filename,bye,hello,no,please,sorry,thankyou,yes
0014-2e0a80d8-4d97-4d79-b240-148b3664681a_jpg.rf.3a6a224118a480f92f7afbdfb3fee1d8.jpg,1,0,0,0,0,0,0
0010-8ff274ae-29a0-48fb-a6e0-10500b02f9e5_jpg.rf.5814b2f326b08cf68b50bdc43f60cb30.jpg,0,0,0,1,0,0,0
0020-7ebab096-5a89-4cb6-8d48-0ad7c7025815_jpg.rf.36d70021f01622d21fd6ef117bc2487b.jpg,0,0,0,0,0,0,1
0005-ee442e2a-bd99-4ecf-87eb-e83c92111940_jpg.rf.4c570a281b5311eda118678acd2d6b7d.jpg,0,1,0,0,0,0,0
0014-ee2789d5-86f3-405e-9231-e6386c72e720_jpg.rf.09ffc7e8223de3fe1cc4c788c4fdc1f1.jpg,0,0,0,0,0,1,0
0011-43fb1e8b-dbc9-4335-a465-8a7f9030177b_jpg.rf.56ad84958249caf77be6e874509e0bf9.jpg,0,0,0,0,1,0,0
0009-8cbaf4ef-d232-4fc0-897b-6df4c36d10a8_jpg.rf.574a2975bc195eff506f5b4a37b76c1a.jpg,0,0,0,1,0,0,0
0020-5f55a92c-9175-46b4-8d3a-b0f7356189cb_jpg.rf.5436a29f5c37049b3af78434af3a4cd6.jpg,0,0,0,1,0,0,0
0018-05cd35a5-b941-49c1-abcc-d49756fc15a8_jpg.rf.5c05273dd29ad87a0efb313d8858ef6a.jpg,0,0,0,1,0,0,0
0018-8f3c6311-c5bb-471f-a8b4-026feaac49f2_jpg.rf.4decb719f614254d9ba89bfb544f4221.jpg,0,0,0,0,0,0,1
0012-b37feb61-a685-48cb-b8c6-79e096dfc2a5_jpg.rf.5f9dde19459e073fe2e1237c679b88ab.jpg,0,0,0,1,0,0,0
0019-f9268874-a330-4439-8b10-488649204b8a_jpg.rf.5fad1c661416806341ed99b20b9559e6.jpg,0,0,0,0,0,0,1
0016-97ce335c-900b-444f-981b-7a7870ffd13e_jpg.rf.22a46d538c4c493c90e8b82a63817599.jpg,1,0,0,0,0,0,0
0015-00de7135-232f-41ca-b70c-7a28af36f9ef_jpg.rf.3b75747666a366d20e2de8f5971e6eb6.jpg,0,0,0,0,1,0,0
0017-51c21167-ce65-47e0-8e55-a157821b58af_jpg.rf.5bba47ad2b10927067a28af33b1135a6.jpg,0,0,0,0,1,0,0
0020-863d12ce-7e27-4617-8909-a147b23455e4_jpg.rf.04d38d232f5111869cdf86bf5ab51a31.jpg,0,0,0,0,0,1,0
0020-0c1c06ab-c458-4d51-9a85-5f1e0263e5dd_jpg.rf.976a3162c37554d3e4553990d18b5fd9.jpg,0,1,0,0,0,0,0
0004-6ea81d33-98c5-4669-993b-9007a40e5ca1_jpg.rf.8f2fa5b53df036b414f092bd0351b37d.jpg,0,0,0,0,0,1,0
0013-56d2e516-8984-4bad-975a-c82ee27f0200_jpg.rf.9bf0b5038221dc239ffd72416004aeb8.jpg,0,0,0,0,0,1,0
